event_id,case_id,event_type,occurred_at,agent_id,note
E_beta0002602,T00026,customer_reply,2026-01-08T13:53:14.083865Z,AG00008,
E_beta0002603,T00026,agent_note,2026-01-08T09:55:39.154557Z,AG00003,
E_beta0002700,T00027,created,2026-03-27T04:46:51Z,AG00007,
E_beta0002701,T00027,assigned,2026-03-28T16:02:57.529038Z,AG00012,
E_beta0002702,T00027,customer_reply,2026-03-29T04:36:43.243054Z,AG00010,
E_beta0002703,T00027,agent_note,2026-03-28T00:58:55.936084Z,AG00015,
E_beta0002800,T00028,created,2026-02-26T12:51:15Z,AG00021,
E_beta0002801,T00028,assigned,2026-02-28T05:24:00.653219Z,AG00016,
E_beta0002900,T00029,created,2026-01-06T18:57:32Z,AG00022,
E_beta0002901,T00029,assigned,2026-01-06T22:18:30.496148Z,AG00002,
E_beta0002902,T00029,customer_reply,2026-01-08T20:14:22.576313Z,AG00007,
E_beta0003000,T00030,created,2026-03-07T05:30:48Z,AG00015,
E_beta0003001,T00030,assigned,2026-03-08T05:34:58.098765Z,AG00024,
E_beta0003100,T00031,created,2026-03-28T08:05:44Z,AG00018,
E_beta0003101,T00031,assigned,2026-03-29T09:41:14.883572Z,AG00021,
E_beta0003102,T00031,customer_reply,2026-03-30T16:12:11.290083Z,AG00006,
E_beta0003103,T00031,agent_note,2026-03-28T20:25:04.952497Z,AG00006,
E_beta0003200,T00032,created,2026-02-07T23:25:59Z,AG00020,
E_beta0003201,T00032,assigned,2026-02-08T23:19:02.603355Z,AG00012,
E_beta0003300,T00033,created,2026-03-06T14:43:20Z,AG00023,
E_beta0003301,T00033,assigned,2026-03-08T05:16:08.993541Z,AG00022,
E_beta0003302,T00033,customer_reply,2026-03-06T18:15:45.313580Z,AG00005,
E_beta0003303,T00033,agent_note,2026-03-06T15:19:24.179893Z,AG00024,
E_beta0003400,T00034,created,2026-01-05T02:02:19Z,AG00022,
E_beta0003401,T00034,assigned,2026-01-06T15:44:24.235055Z,AG00002,
E_beta0003402,T00034,customer_reply,2026-01-06T09:02:22.599542Z,AG00008,
E_beta0003500,T00035,created,2026-02-19T12:19:57Z,AG00018,
E_beta0003501,T00035,assigned,2026-02-20T15:39:30.662679Z,AG00003,
E_beta0003502,T00035,customer_reply,2026-02-20T12:25:55.938874Z,AG00020,
E_beta0003503,T00035,agent_note,2026-02-21T00:09:29.409064Z,AG00010,
E_beta0003600,T00036,created,2026-03-19T09:03:37Z,AG00020,
E_beta0003601,T00036,assigned,2026-03-21T19:44:13.526160Z,AG00011,
E_beta0003700,T00037,created,2026-03-13T09:57:32Z,AG00014,
E_beta0003701,T00037,assigned,2026-03-14T23:55:09.330249Z,AG00003,
E_beta0003702,T00037,customer_reply,2026-03-13T10:04:34.980666Z,AG00020,
E_beta0003800,T00038,created,2026-01-02T13:45:19Z,AG00002,
E_beta0003801,T00038,assigned,2026-01-03T21:56:03.779914Z,AG00007,
E_beta0003802,T00038,customer_reply,2026-01-04T15:43:28.381026Z,AG00015,
E_beta0003803,T00038,agent_note,2026-01-03T10:51:20.938598Z,AG00019,
E_beta0003900,T00039,created,2026-02-04T18:44:07Z,AG00016,
E_beta0003901,T00039,assigned,2026-02-05T05:55:57.793350Z,AG00008,
E_beta0003902,T00039,customer_reply,2026-02-06T05:05:34.740921Z,AG00012,
E_beta0003903,T00039,agent_note,2026-02-06T05:09:55.031178Z,AG00019,
E_beta0004000,T00040,created,2026-01-13T18:55:34Z,AG00017,
E_beta0004001,T00040,assigned,2026-01-14T15:20:34.993839Z,AG00012,
E_beta0004002,T00040,customer_reply,2026-01-15T01:53:45.438234Z,AG00016,
E_beta0004003,T00040,agent_note,2026-01-14T15:12:23.197813Z,AG00022,
E_beta0004004,T00040,status_change,2026-01-16T02:49:20.241447Z,AG00014,
E_beta0004100,T00041,created,2026-03-02T15:13:16Z,AG00022,
E_beta0004101,T00041,assigned,2026-03-04T05:00:56.023597Z,AG00020,
E_beta0004102,T00041,customer_reply,2026-03-03T07:50:54.534743Z,AG00014,
E_beta0004103,T00041,agent_note,2026-03-04T16:48:09.017460Z,AG00002,
E_beta0004104,T00041,status_change,2026-03-03T04:27:39.900313Z,AG00019,
E_beta0004200,T00042,created,2026-01-16T01:00:03Z,AG00018,
E_beta0004201,T00042,assigned,2026-01-16T22:35:36.545582Z,AG00021,
E_beta0004202,T00042,customer_reply,2026-01-17T21:01:56.453667Z,AG00004,
E_beta0004203,T00042,agent_note,2026-01-16T11:36:23.518298Z,AG00007,
E_beta0004204,T00042,status_change,2026-01-17T07:46:02.360544Z,AG00015,
E_beta0004300,T00043,created,2026-02-07T17:14:06Z,AG00007,
E_beta0004301,T00043,assigned,2026-02-10T04:34:16.523754Z,AG00009,
E_beta0004400,T00044,created,2026-03-14T10:33:30Z,AG00005,
E_beta0004401,T00044,assigned,2026-03-15T11:18:44.063815Z,AG00023,
E_beta0004500,T00045,created,2026-02-04T05:28:25Z,AG00011,
E_beta0004501,T00045,assigned,2026-02-05T11:03:09.091984Z,AG00012,
E_beta0004502,T00045,customer_reply,2026-02-05T15:28:25.582667Z,AG00017,
E_beta0004503,T00045,agent_note,2026-02-04T13:56:49.723914Z,AG00011,
E_beta0004504,T00045,status_change,2026-02-06T01:10:15.470972Z,AG00016,
E_beta0004600,T00046,created,2026-02-24T23:40:08Z,AG00020,
E_beta0004601,T00046,assigned,2026-02-26T23:43:59.082010Z,AG00014,
E_beta0004602,T00046,customer_reply,2026-02-27T01:28:18.766989Z,AG00022,
E_beta0004603,T00046,agent_note,2026-02-26T23:01:59.485812Z,AG00022,
E_beta0004700,T00047,created,2026-03-28T13:48:10Z,AG00007,
E_beta0004701,T00047,assigned,2026-03-31T00:30:55.857793Z,AG00009,
E_beta0004702,T00047,customer_reply,2026-03-30T01:44:45.619809Z,AG00011,
E_beta0004703,T00047,agent_note,2026-03-30T01:57:12.811719Z,AG00013,
E_beta0004704,T00047,status_change,2026-03-28T22:44:13.858077Z,AG00004,
E_beta0004800,T00048,created,2026-01-02T19:46:26Z,AG00022,
E_beta0004801,T00048,assigned,2026-01-03T15:51:22.656220Z,AG00012,
E_beta0004900,T00049,created,2026-03-15T07:54:21Z,AG00014,
E_beta0004901,T00049,assigned,2026-03-16T03:22:36.931012Z,AG00013,
E_beta0004902,T00049,customer_reply,2026-03-16T00:00:37.365220Z,AG00020,
E_beta0005000,T00050,created,2026-02-07T17:21:32Z,AG00008,
E_beta0005001,T00050,assigned,2026-02-10T01:56:57.698053Z,AG00018,
E_beta0005002,T00050,customer_reply,2026-02-09T12:48:08.672304Z,AG00002,
E_beta0005100,T00051,created,2026-03-24T13:26:29Z,AG00007,
E_beta0005101,T00051,assigned,2026-03-24T22:45:30.699898Z,AG00007,
E_beta0005102,T00051,customer_reply,2026-03-24T21:39:16.947527Z,AG00024,
E_beta0005103,T00051,agent_note,2026-03-25T04:55:39.578401Z,AG00006,
E_beta0005104,T00051,status_change,2026-03-26T09:42:27.680010Z,AG00016,
E_beta0005200,T00052,created,2026-01-18T15:19:39Z,AG00011,
E_beta0005201,T00052,assigned,2026-01-18T18:50:40.063379Z,AG00019,
E_beta0005202,T00052,customer_reply,2026-01-20T06:43:38.660678Z,AG00024,
E_beta0005203,T00052,agent_note,2026-01-18T18:58:24.923255Z,AG00003,
E_beta0005204,T00052,status_change,2026-01-19T16:29:47.276734Z,AG00012,
E_beta0005300,T00053,created,2026-01-27T01:21:46Z,AG00013,
E_beta0005301,T00053,assigned,2026-01-27T06:27:23.619766Z,AG00011,
E_beta0005302,T00053,customer_reply,2026-01-27T05:07:19.136648Z,AG00004,
E_beta0005400,T00054,created,2026-03-28T20:08:43Z,AG00016,
E_beta0005401,T00054,assigned,2026-03-29T02:57:51.549767Z,AG00007,
E_beta0005402,T00054,customer_reply,2026-03-29T12:42:02.702358Z,AG00015,
E_beta0005403,T00054,agent_note,2026-03-30T14:40:28.359917Z,AG00012,
E_beta0005500,T00055,created,2026-01-01T05:44:03Z,AG00011,
E_beta0005501,T00055,assigned,2026-01-02T02:03:18.479378Z,AG00010,
E_beta0005502,T00055,customer_reply,2026-01-01T07:38:12.099719Z,AG00014,
E_beta0005503,T00055,agent_note,2026-01-01T17:09:11.769771Z,AG00020,
E_beta0005600,T00056,created,2026-02-11T23:15:24Z,AG00004,
E_beta0005601,T00056,assigned,2026-02-12T05:58:25.122380Z,AG00018,
E_beta0005602,T00056,customer_reply,2026-02-13T16:50:54.768121Z,AG00013,
E_beta0005700,T00057,created,2026-03-15T23:40:08Z,AG00004,
E_beta0005701,T00057,assigned,2026-03-16T04:10:44.659236Z,AG00007,
E_beta0005702,T00057,customer_reply,2026-03-17T18:04:03.980903Z,AG00009,
E_beta0005800,T00058,created,2026-01-09T17:25:13Z,AG00014,
E_beta0005801,T00058,assigned,2026-01-09T17:59:00.396219Z,AG00018,
E_beta0005802,T00058,customer_reply,2026-01-12T04:07:25.501840Z,AG00019,
E_beta0005803,T00058,agent_note,2026-01-12T00:48:28.955691Z,AG00011,
E_beta0005900,T00059,created,2026-01-08T04:13:24Z,AG00019,
E_beta0005901,T00059,assigned,2026-01-10T01:52:32.683837Z,AG00013,
E_beta0005902,T00059,customer_reply,2026-01-09T18:25:59.625846Z,AG00004,
E_beta0005903,T00059,agent_note,2026-01-08T17:19:19.695516Z,AG00006,
E_beta0006000,T00060,created,2026-03-08T01:20:22Z,AG00024,
E_beta0006001,T00060,assigned,2026-03-10T10:50:54.344210Z,AG00006,
E_beta0006100,T00061,created,2026-03-01T18:54:42Z,AG00002,
E_beta0006101,T00061,assigned,2026-03-04T00:26:34.456745Z,AG00022,
E_beta0006102,T00061,customer_reply,2026-03-03T09:13:22.562792Z,AG00010,
E_beta0006200,T00062,created,2026-02-07T05:29:34Z,AG00016,
E_beta0006201,T00062,assigned,2026-02-09T17:29:10.369683Z,AG00001,
E_beta0006300,T00063,created,2026-01-07T00:04:13Z,AG00012,
E_beta0006301,T00063,assigned,2026-01-07T19:17:52.287748Z,AG00024,
E_beta0006302,T00063,customer_reply,2026-01-09T09:33:37.634945Z,AG00003,
E_beta0006400,T00064,created,2026-03-21T03:40:39Z,AG00003,
E_beta0006401,T00064,assigned,2026-03-21T17:16:20.265870Z,AG00004,
E_beta0006402,T00064,customer_reply,2026-03-21T21:53:13.386960Z,AG00018,
E_beta0006500,T00065,created,2026-03-22T20:25:12Z,AG00019,
E_beta0006501,T00065,assigned,2026-03-23T06:59:41.479342Z,AG00024,
E_beta0006502,T00065,customer_reply,2026-03-24T08:18:46.587888Z,AG00024,
E_beta0006600,T00066,created,2026-01-16T11:05:48Z,AG00012,
E_beta0006601,T00066,assigned,2026-01-17T10:44:49.380215Z,AG00006,
E_beta0006602,T00066,customer_reply,2026-01-17T03:50:25.255641Z,AG00024,
E_beta0006603,T00066,agent_note,2026-01-17T08:57:48.232714Z,AG00021,
E_beta0006604,T00066,status_change,2026-01-17T15:53:34.316431Z,AG00021,
E_beta0006700,T00067,created,2026-02-28T10:22:00Z,AG00002,
E_beta0006701,T00067,assigned,2026-03-01T08:42:47.380484Z,AG00017,
E_beta0006702,T00067,customer_reply,2026-02-28T17:10:41.942941Z,AG00002,
E_beta0006703,T00067,agent_note,2026-03-01T11:40:52.818712Z,AG00024,
E_beta0006800,T00068,created,2026-02-11T08:13:24Z,AG00021,
E_beta0006801,T00068,assigned,2026-02-11T09:53:18.850182Z,AG00007,
E_beta0006802,T00068,customer_reply,2026-02-13T02:26:22.531864Z,AG00001,
E_beta0006803,T00068,agent_note,2026-02-11T21:54:00.900182Z,AG00018,
E_beta0006804,T00068,status_change,2026-02-13T07:21:13.442069Z,AG00008,
E_beta0006900,T00069,created,2026-01-10T12:53:40Z,AG00019,
E_beta0006901,T00069,assigned,2026-01-12T06:13:33.682927Z,AG00011,
E_beta0006902,T00069,customer_reply,2026-01-12T18:47:08.110982Z,AG00017,
E_beta0006903,T00069,agent_note,2026-01-11T09:58:10.858598Z,AG00016,
E_beta0007000,T00070,created,2026-02-13T18:42:42Z,AG00018,
E_beta0007001,T00070,assigned,2026-02-15T01:36:52.468813Z,AG00007,
E_beta0007002,T00070,customer_reply,2026-02-15T22:21:16.254133Z,AG00019,
E_beta0007003,T00070,agent_note,2026-02-14T08:27:38.809169Z,AG00021,
E_beta0007004,T00070,status_change,2026-02-14T21:59:49.610210Z,AG00003,
E_beta0007100,T00071,created,2026-01-13T04:49:59Z,AG00017,
E_beta0007101,T00071,assigned,2026-01-13T07:21:49.057617Z,AG00013,
E_beta0007102,T00071,customer_reply,2026-01-14T01:51:16.750782Z,AG00020,
E_beta0007103,T00071,agent_note,2026-01-14T02:50:11.064333Z,AG00024,
E_beta0007200,T00072,created,2026-01-16T22:23:11Z,AG00006,
E_beta0007201,T00072,assigned,2026-01-17T22:44:27.554423Z,AG00020,
E_beta0007202,T00072,customer_reply,2026-01-18T21:41:06.513980Z,AG00010,
E_beta0007203,T00072,agent_note,2026-01-19T07:54:14.150463Z,AG00016,
E_beta0007204,T00072,status_change,2026-01-17T18:50:50.331832Z,AG00014,
E_beta0007300,T00073,created,2026-02-09T14:32:41Z,AG00018,
E_beta0007301,T00073,assigned,2026-02-11T22:20:59.939800Z,AG00023,
E_beta0007302,T00073,customer_reply,2026-02-10T09:21:16.249967Z,AG00007,
E_beta0007400,T00074,created,2026-01-28T13:39:24Z,AG00015,
E_beta0007401,T00074,assigned,2026-01-29T06:38:38.708571Z,AG00020,
E_beta0007402,T00074,customer_reply,2026-01-28T20:45:22.908926Z,AG00007,
E_beta0007403,T00074,agent_note,2026-01-29T08:35:54.019562Z,AG00007,
E_beta0007404,T00074,status_change,2026-01-30T14:51:37.146821Z,AG00020,
E_beta0007500,T00075,created,2026-01-04T14:13:25Z,AG00014,
E_beta0007501,T00075,assigned,2026-01-05T02:41:56.547012Z,AG00014,
E_beta0007502,T00075,customer_reply,2026-01-05T05:49:30.729734Z,AG00011,
E_beta0007600,T00076,created,2026-03-09T06:13:50Z,AG00006,
E_beta0007601,T00076,assigned,2026-03-11T16:28:09.871421Z,AG00021,
E_beta0007602,T00076,customer_reply,2026-03-11T12:25:05.755893Z,AG00002,
E_beta0007603,T00076,agent_note,2026-03-11T14:19:43.103089Z,AG00009,
E_beta0007700,T00077,created,2026-01-14T17:01:19Z,AG00014,
E_beta0007701,T00077,assigned,2026-01-16T10:50:22.737217Z,AG00009,
E_beta0007702,T00077,customer_reply,2026-01-16T05:03:07.238159Z,AG00008,
E_beta0007800,T00078,created,2026-03-16T02:40:18Z,AG00011,
E_beta0007801,T00078,assigned,2026-03-17T09:06:23.537323Z,AG00014,
E_beta0007802,T00078,customer_reply,2026-03-18T03:26:41.664064Z,AG00015,
E_beta0007803,T00078,agent_note,2026-03-17T11:27:32.309313Z,AG00023,
E_beta0007900,T00079,created,2026-02-15T01:11:23Z,AG00008,
E_beta0007901,T00079,assigned,2026-02-15T18:42:09.354116Z,AG00024,
E_beta0007902,T00079,customer_reply,2026-02-15T05:33:25.336428Z,AG00016,
E_beta0008000,T00080,created,2026-03-23T23:45:28Z,AG00014,
E_beta0008001,T00080,assigned,2026-03-24T23:40:45.050985Z,AG00008,
E_beta0008002,T00080,customer_reply,2026-03-24T18:39:11.200445Z,AG00024,
E_beta0008003,T00080,agent_note,2026-03-25T05:35:03.305155Z,AG00003,
E_beta0008004,T00080,status_change,2026-03-24T08:33:10.182546Z,AG00010,
E_beta0008100,T00081,created,2026-03-09T13:22:02Z,AG00019,
E_beta0008101,T00081,assigned,2026-03-10T22:06:56.614836Z,AG00022,
E_beta0008102,T00081,customer_reply,2026-03-10T04:55:18.949564Z,AG00022,
E_beta0008103,T00081,agent_note,2026-03-11T04:15:34.448034Z,AG00010,
E_beta0008104,T00081,status_change,2026-03-10T16:08:01.924676Z,AG00014,
E_beta0008200,T00082,created,2026-02-23T11:29:44Z,AG00012,
E_beta0008201,T00082,assigned,2026-02-23T14:31:05.302774Z,AG00014,
E_beta0008202,T00082,customer_reply,2026-02-23T18:49:05.939367Z,AG00018,
E_beta0008203,T00082,agent_note,2026-02-24T15:28:31.771884Z,AG00022,
E_beta0008300,T00083,created,2026-01-05T02:16:33Z,AG00007,
E_beta0008301,T00083,assigned,2026-01-06T16:05:50.942672Z,AG00003,
E_beta0008302,T00083,customer_reply,2026-01-07T12:01:54.776105Z,AG00018,
E_beta0008303,T00083,agent_note,2026-01-07T04:26:08.611906Z,AG00020,
E_beta0008400,T00084,created,2026-03-01T04:52:21Z,AG00020,
E_beta0008401,T00084,assigned,2026-03-01T13:45:29.546845Z,AG00008,
E_beta0008402,T00084,customer_reply,2026-03-01T19:05:32.626570Z,AG00006,
E_beta0008500,T00085,created,2026-02-27T14:31:49Z,AG00007,
E_beta0008501,T00085,assigned,2026-02-28T10:37:06.361466Z,AG00019,
E_beta0008502,T00085,customer_reply,2026-03-01T16:09:51.919630Z,AG00017,
E_beta0008600,T00086,created,2026-03-12T10:41:41Z,AG00019,
E_beta0008601,T00086,assigned,2026-03-12T15:21:42.518108Z,AG00022,
E_beta0008602,T00086,customer_reply,2026-03-13T10:06:19.301285Z,AG00005,
E_beta0008603,T00086,agent_note,2026-03-13T08:14:06.114447Z,AG00006,
E_beta0008700,T00087,created,2026-03-06T18:11:37Z,AG00008,
E_beta0008701,T00087,assigned,2026-03-07T08:54:45.055692Z,AG00003,
E_beta0008800,T00088,created,2026-01-15T02:41:50Z,AG00009,
E_beta0008801,T00088,assigned,2026-01-17T01:11:47.681552Z,AG00007,
E_beta0008802,T00088,customer_reply,2026-01-16T18:16:25.517139Z,AG00004,
E_beta0008803,T00088,agent_note,2026-01-16T06:39:53.875288Z,AG00024,
E_beta0008804,T00088,status_change,2026-01-15T10:23:27.071395Z,AG00019,
E_beta0008900,T00089,created,2026-01-08T03:53:41Z,AG00012,
E_beta0008901,T00089,assigned,2026-01-09T00:55:41.462582Z,AG00024,
E_beta0009000,T00090,created,2026-01-19T19:12:03Z,AG00023,
E_beta0009001,T00090,assigned,2026-01-21T13:14:17.347650Z,AG00003,
E_beta0009002,T00090,customer_reply,2026-01-20T04:15:44.692829Z,AG00007,
E_beta0009100,T00091,created,2026-03-19T15:53:28Z,AG00018,
E_beta0009101,T00091,assigned,2026-03-20T12:37:41.818174Z,AG00007,
E_beta0009102,T00091,customer_reply,2026-03-19T22:20:55.751104Z,AG00018,
E_beta0009200,T00092,created,2026-01-02T04:50:52Z,AG00020,
E_beta0009201,T00092,assigned,2026-01-02T17:20:09.455212Z,AG00012,
E_beta0009202,T00092,customer_reply,2026-01-02T09:25:40.310178Z,AG00021,
E_beta0009300,T00093,created,2026-03-28T00:13:40Z,AG00003,
E_beta0009301,T00093,assigned,2026-03-28T04:47:26.812535Z,AG00001,
E_beta0009302,T00093,customer_reply,2026-03-28T04:01:45.897255Z,AG00009,
E_beta0009400,T00094,created,2026-02-21T07:08:57Z,AG00011,
E_beta0009401,T00094,assigned,2026-02-21T09:11:42.516448Z,AG00022,
E_beta0009402,T00094,customer_reply,2026-02-22T03:42:58.758425Z,AG00024,
E_beta0009403,T00094,agent_note,2026-02-21T23:27:47.211562Z,AG00018,
E_beta0009500,T00095,created,2026-02-12T04:29:11Z,AG00016,
E_beta0009501,T00095,assigned,2026-02-13T00:57:59.532242Z,AG00010,
E_beta0009502,T00095,customer_reply,2026-02-13T19:58:30.706704Z,AG00003,
E_beta0009503,T00095,agent_note,2026-02-12T05:00:24.528782Z,AG00011,
E_beta0009600,T00096,created,2026-01-03T23:44:20Z,AG00024,
E_beta0009601,T00096,assigned,2026-01-06T04:17:06.896983Z,AG00011,
E_beta0009602,T00096,customer_reply,2026-01-04T20:38:36.640613Z,AG00006,
E_beta0009603,T00096,agent_note,2026-01-05T08:12:23.196983Z,AG00005,
E_beta0009700,T00097,created,2026-02-11T15:49:55Z,AG00010,
E_beta0009701,T00097,assigned,2026-02-13T11:08:06.188154Z,AG00011,
E_beta0009702,T00097,customer_reply,2026-02-12T06:18:50.415137Z,AG00003,
E_beta0009703,T00097,agent_note,2026-02-11T22:40:05.490664Z,AG00022,
E_beta0009800,T00098,created,2026-02-01T04:02:40Z,AG00020,
E_beta0009801,T00098,assigned,2026-02-01T21:43:33.082020Z,AG00023,
E_beta0009900,T00099,created,2026-01-09T08:38:51Z,AG00001,
E_beta0009901,T00099,assigned,2026-01-10T16:17:01.152163Z,AG00001,
E_beta0010000,T00100,created,2026-01-09T23:12:01Z,AG00018,
E_beta0010001,T00100,assigned,2026-01-11T05:54:20.243370Z,AG00003,
